iter	Logloss
0	0.6828328722
1	0.6725501788
2	0.6645273883
3	0.6558794735
4	0.6466089832
5	0.6395748371
6	0.6317502794
7	0.6233893303
8	0.6188081739
9	0.6104999014
10	0.6037423008
11	0.5978409279
12	0.5905465622
13	0.583256743
14	0.5782593136
15	0.5722612444
16	0.5651133001
17	0.5585303827
18	0.5539975597
19	0.5480806107
20	0.542926981
21	0.5376970516
22	0.5330829506
23	0.5282418444
24	0.5240259029
25	0.5204384628
26	0.5156645463
27	0.5131880917
28	0.5096902352
29	0.5047363502
30	0.5000542714
31	0.4969688099
32	0.493566229
33	0.4907911729
34	0.48789583
35	0.4840092579
36	0.4820825477
37	0.4791385487
38	0.4753411834
39	0.4728590036
40	0.4700988616
41	0.4679782681
42	0.4640379058
43	0.4612150158
44	0.459313683
45	0.4578677064
46	0.4551888034
47	0.4528613081
48	0.4507121508
49	0.4472441646
50	0.4449463381
51	0.4429372495
52	0.4416655412
53	0.4396131589
54	0.437769567
55	0.43605301
56	0.433672656
57	0.431917114
58	0.4292885597
59	0.4271790324
60	0.4260742835
61	0.4238585907
62	0.4224866075
63	0.421189976
64	0.419672636
65	0.4184466596
66	0.4173183171
67	0.4159892542
68	0.4147876682
69	0.4133870532
70	0.4120073938
71	0.4109898241
72	0.4092545665
73	0.4078327801
74	0.4060754083
75	0.4050608501
76	0.4031960065
77	0.401888165
78	0.4002920441
79	0.3996914151
80	0.3991216987
81	0.3981479832
82	0.397108233
83	0.3961591055
84	0.3954774308
85	0.3946360523
86	0.393669694
87	0.3931579044
88	0.3919140013
89	0.3908233759
90	0.3895777897
91	0.3886144949
92	0.3875693479
93	0.3868183909
94	0.3860092481
95	0.3854530316
96	0.3846370714
97	0.3838738705
98	0.3831957005
99	0.3823068966
100	0.3814652188
101	0.380577068
102	0.379284066
103	0.3781250255
104	0.3771928139
105	0.3763942774
106	0.3761672268
107	0.3755913793
108	0.3751010483
109	0.3746399698
110	0.3737334312
111	0.3731410149
112	0.372171461
113	0.3719726106
114	0.3718014986
115	0.3709893293
116	0.370235176
117	0.3700457341
118	0.369421765
119	0.3684136536
120	0.3682253799
121	0.3675118499
122	0.3669305121
123	0.3664319943
124	0.3659612985
125	0.3655678914
126	0.3650844719
127	0.3643947256
128	0.3637689592
129	0.3635412819
130	0.3629375476
131	0.3624488401
132	0.3616938865
133	0.3611095605
134	0.3609536466
135	0.3605888133
136	0.3600486953
137	0.3593322737
138	0.3587418013
139	0.3580173973
140	0.3568533094
141	0.3561058035
142	0.3553652697
143	0.3548899582
144	0.3544866362
145	0.353785414
146	0.3536683578
147	0.3531029039
148	0.3524913681
149	0.3523556957
150	0.3522154012
151	0.3518006849
152	0.3513332294
153	0.3508277848
154	0.3504768977
155	0.3501908984
156	0.3498754892
157	0.3493619488
158	0.3493348573
159	0.3491944575
160	0.3488248759
161	0.3483108445
162	0.3480334398
163	0.347797601
164	0.3473318863
165	0.346956121
166	0.3464873378
167	0.3461553428
168	0.3454624958
169	0.3451032833
170	0.3448254564
171	0.344575409
172	0.3441290912
173	0.3438812163
174	0.3436275335
175	0.3430275665
176	0.3425450974
177	0.342168491
178	0.3416688306
179	0.3414995148
180	0.3411835286
181	0.3407265335
182	0.3400851661
183	0.3395842043
184	0.3392409202
185	0.3388176348
186	0.3382372364
187	0.3378269116
188	0.3374111227
189	0.3372586394
190	0.3369577068
191	0.3365122021
192	0.3359562274
193	0.3356651347
194	0.3351742145
195	0.3348500799
196	0.3345494884
197	0.3340875886
198	0.3336954946
199	0.3333907858
200	0.3328262623
201	0.3326036786
202	0.3320396414
203	0.3315137338
204	0.3310146592
205	0.3307792763
206	0.3303615113
207	0.3300409056
208	0.3296245223
209	0.3292288646
210	0.3288021744
211	0.3284785835
212	0.3281036476
213	0.3276605059
214	0.3271605137
215	0.3270866878
216	0.3268395704
217	0.3262952283
218	0.325835198
219	0.3254725946
220	0.3254332799
221	0.3250711753
222	0.3246886094
223	0.3244577087
224	0.3243549074
225	0.3239122286
226	0.3237812602
227	0.3234986322
228	0.323148413
229	0.3230068676
230	0.3226615975
231	0.3223975248
232	0.3219523852
233	0.3217841917
234	0.3214790636
235	0.3212688628
236	0.3210551662
237	0.3208531859
238	0.3207055526
239	0.3206042465
240	0.3203584523
241	0.3201283229
242	0.3201017124
243	0.3197396314
244	0.3196650673
245	0.3194564135
246	0.3192076283
247	0.3188633254
248	0.3187656677
249	0.3181882046
250	0.3175699379
251	0.3173264541
252	0.3172078833
253	0.3168416126
254	0.3165365692
255	0.3164274263
256	0.3160045858
257	0.3158058147
258	0.3156467469
259	0.3153719185
260	0.315256476
261	0.3150133707
262	0.3145129106
263	0.3141311971
264	0.3140604903
265	0.3139613611
266	0.313648837
267	0.3134836296
268	0.31317925
269	0.312906061
270	0.3125963704
271	0.312253839
272	0.3119617941
273	0.3117348559
274	0.3115061068
275	0.3112782561
276	0.310835354
277	0.3106882454
278	0.31040804
279	0.3102555592
280	0.3100025045
281	0.3097545337
282	0.3097296485
283	0.309534187
284	0.3092047821
285	0.3089727103
286	0.3086131498
287	0.3083411443
288	0.3082040179
289	0.3079637458
290	0.3078236481
291	0.3075839134
292	0.3072341772
293	0.3069287216
294	0.3068449669
295	0.3064841732
296	0.3062908592
297	0.3061691688
298	0.3059436029
299	0.3057059105
300	0.3054630987
301	0.3052375193
302	0.305084911
303	0.3050044163
304	0.3045984223
305	0.3045808375
306	0.3043162817
307	0.3041887204
308	0.3038839724
309	0.3038272302
310	0.3036855632
311	0.3034191496
312	0.3030786603
313	0.3030446811
314	0.3028197081
315	0.3026265129
316	0.3023796745
317	0.3021725401
318	0.3020759374
319	0.3017170487
320	0.3016394381
321	0.3014586394
322	0.3012531013
323	0.3011177204
324	0.3008446038
325	0.300622713
326	0.3003667847
327	0.3002019691
328	0.3000385666
329	0.2998154148
330	0.2994921616
331	0.2990906753
332	0.2988217618
333	0.2985231463
334	0.2984177442
335	0.2983045302
336	0.298271677
337	0.2979348146
338	0.2978989276
339	0.297656889
340	0.2972906017
341	0.2972310693
342	0.2972247702
343	0.2970329252
344	0.2966905659
345	0.2963968153
346	0.2962658534
347	0.2959691007
348	0.2959386069
349	0.2956143001
350	0.2953606443
351	0.2951801249
352	0.2949781434
353	0.2949618081
354	0.294599184
355	0.2944832933
356	0.2942561977
357	0.2941273816
358	0.2939425292
359	0.2936050398
360	0.2935157358
361	0.2934053624
362	0.2932808718
363	0.293109833
364	0.2928358111
365	0.2927925506
366	0.2923555398
367	0.292235665
368	0.2919836761
369	0.2918723663
370	0.2918064589
371	0.2916531323
372	0.2915047749
373	0.2912570528
374	0.2909777756
375	0.2908186268
376	0.2905206956
377	0.2902630937
378	0.29004355
379	0.2899349202
380	0.2899329004
381	0.2896667578
382	0.2896257543
383	0.289514363
384	0.2893505131
385	0.2892063085
386	0.2891382552
387	0.2886832032
388	0.2883118364
389	0.2880709891
390	0.2878663014
391	0.2875695715
392	0.2875498231
393	0.2874350811
394	0.2872145879
395	0.2871245201
396	0.2869200612
397	0.2867075023
398	0.2866248138
399	0.2863357683
400	0.2862954315
401	0.2860913179
402	0.2859898212
403	0.2857937505
404	0.2855933362
405	0.2855296495
406	0.2853446069
407	0.284992378
408	0.2848611228
409	0.2846241314
410	0.284345814
411	0.2840997518
412	0.2838434917
413	0.2835588864
414	0.2831327181
415	0.2829140895
416	0.2825603266
417	0.2822596994
418	0.2818587042
419	0.2816919693
420	0.281449925
421	0.2812833666
422	0.2809987998
423	0.2807254438
424	0.2806311555
425	0.2804642515
426	0.280166392
427	0.2800176166
428	0.2795949257
429	0.2794136571
430	0.2792118065
431	0.2790715934
432	0.2790090386
433	0.2787882502
434	0.2787588909
435	0.2783174844
436	0.2780640591
437	0.277903783
438	0.2776999902
439	0.2776345856
440	0.2774871303
441	0.2772207413
442	0.277084608
443	0.2768692898
444	0.2763937916
445	0.276133195
446	0.2758125017
447	0.27541695
448	0.2752585608
449	0.2749731971
450	0.2747205027
451	0.2745336674
452	0.2742882026
453	0.2740175884
454	0.2738721975
455	0.2737644707
456	0.2734689533
457	0.2730727804
458	0.2730627799
459	0.2729576218
460	0.2727111383
461	0.2726348541
462	0.2724129358
463	0.2720670508
464	0.271799867
465	0.2715099353
466	0.2710883181
467	0.2708353015
468	0.2706869566
469	0.2705515238
470	0.2704717241
471	0.2702477017
472	0.2700157848
473	0.2698969541
474	0.2695184042
475	0.2693967995
476	0.2692500612
477	0.2691338859
478	0.2690088721
479	0.2686107833
480	0.2683573671
481	0.2680537474
482	0.267917228
483	0.2677699292
484	0.2675499009
485	0.2674648356
486	0.2674281821
487	0.2673491261
488	0.2672420379
489	0.2670412619
490	0.2669248094
491	0.2667487414
492	0.2666976972
493	0.2666395551
494	0.266175683
495	0.2660041201
