iter	Passed	Remaining
0	1	1605
1	3	1552
2	4	1476
3	5	1445
4	7	1437
5	8	1404
6	9	1414
7	11	1421
8	12	1358
9	13	1343
10	14	1343
11	15	1290
12	17	1303
13	18	1317
14	19	1310
15	21	1320
16	23	1346
17	24	1347
18	25	1329
19	27	1324
20	28	1321
21	29	1314
22	30	1312
23	32	1319
24	33	1323
25	34	1306
26	36	1309
27	37	1293
28	38	1293
29	39	1290
30	41	1297
31	42	1281
32	43	1285
33	44	1273
34	45	1264
35	47	1265
36	48	1260
37	50	1266
38	51	1269
39	52	1266
40	54	1269
41	55	1269
42	57	1268
43	58	1270
44	59	1260
45	60	1251
46	61	1250
47	63	1250
48	64	1255
49	66	1263
50	67	1263
51	69	1261
52	70	1252
53	71	1251
54	72	1249
55	73	1245
56	75	1245
57	76	1244
58	77	1242
59	79	1244
60	80	1241
61	81	1240
62	83	1240
63	84	1240
64	86	1241
65	87	1240
66	89	1240
67	90	1243
68	92	1243
69	93	1242
70	94	1242
71	96	1238
72	97	1238
73	99	1238
74	100	1239
75	101	1239
76	104	1248
77	105	1247
78	106	1247
79	108	1242
80	109	1246
81	111	1251
82	113	1248
83	114	1246
84	115	1244
85	117	1244
86	118	1248
87	120	1244
88	121	1247
89	123	1245
90	124	1246
91	126	1250
92	128	1248
93	129	1246
94	130	1244
95	132	1244
96	133	1245
97	135	1245
98	136	1245
99	138	1244
100	139	1245
101	142	1251
102	143	1250
103	144	1248
104	146	1245
105	147	1243
106	148	1241
107	150	1239
108	151	1237
109	153	1238
110	154	1239
111	156	1244
112	158	1246
113	159	1240
114	160	1235
115	161	1233
116	163	1233
117	164	1230
118	165	1228
119	167	1227
120	168	1223
121	169	1222
122	171	1223
123	173	1224
124	174	1222
125	176	1220
126	177	1219
127	178	1219
128	180	1218
129	181	1216
130	183	1215
131	184	1212
132	186	1212
133	188	1215
134	188	1210
135	190	1212
136	192	1211
137	193	1211
138	195	1210
139	196	1208
140	198	1210
141	199	1208
142	201	1206
143	203	1209
144	204	1207
145	206	1206
146	207	1205
147	209	1205
148	211	1208
149	212	1205
150	213	1203
151	215	1202
152	216	1199
153	218	1198
154	219	1197
155	220	1194
156	221	1191
157	223	1188
158	223	1183
159	224	1180
160	226	1178
161	227	1175
162	228	1172
163	229	1170
164	230	1167
165	231	1164
166	233	1164
167	235	1164
168	236	1161
169	237	1158
170	238	1156
171	239	1153
172	240	1151
173	242	1149
174	243	1147
175	244	1144
176	245	1142
177	246	1139
178	248	1138
179	249	1136
180	250	1134
181	251	1132
182	253	1130
183	254	1127
184	255	1127
185	257	1125
186	258	1123
187	259	1120
188	260	1118
189	261	1115
190	262	1113
191	264	1113
192	265	1110
193	267	1109
194	268	1107
195	269	1105
196	270	1102
197	272	1102
198	273	1100
199	274	1097
200	275	1095
201	276	1092
202	277	1090
203	279	1089
204	280	1087
205	281	1085
206	282	1083
207	284	1081
208	285	1079
209	286	1077
210	287	1076
211	289	1074
212	290	1072
213	291	1070
214	292	1068
215	293	1066
216	295	1065
217	296	1063
218	297	1061
219	298	1059
220	299	1056
221	300	1054
222	302	1053
223	303	1051
224	304	1047
225	305	1045
226	306	1042
227	307	1040
228	308	1039
229	309	1037
230	311	1035
231	312	1033
232	313	1031
233	314	1030
234	316	1028
235	317	1027
236	319	1027
237	320	1025
238	321	1023
239	322	1021
240	323	1019
241	325	1018
242	325	1015
243	327	1013
244	328	1011
245	329	1009
246	330	1007
247	331	1006
248	333	1005
249	334	1003
250	335	1002
251	336	1000
252	337	997
253	338	995
254	340	995
255	341	993
256	342	991
257	343	989
258	345	987
259	346	987
260	348	986
261	349	984
262	350	982
263	351	981
264	352	978
265	353	976
266	355	975
267	356	974
268	357	972
269	358	970
270	360	969
271	361	967
272	363	966
273	364	965
274	365	963
275	366	961
276	367	959
277	368	957
278	369	955
279	371	955
280	372	953
281	373	951
282	374	948
283	375	947
284	377	947
285	378	945
286	380	944
287	381	942
288	382	940
289	383	939
290	385	939
291	387	939
292	388	937
293	389	935
294	390	933
295	391	931
296	393	930
297	394	929
298	395	927
299	396	925
300	397	923
301	399	922
302	400	920
303	401	919
304	402	918
305	403	915
306	404	913
307	406	912
308	407	910
309	408	910
310	410	908
311	411	907
312	412	905
313	413	902
314	414	901
315	415	900
316	417	900
317	419	898
318	420	896
319	421	894
320	422	892
321	423	892
322	425	891
323	426	889
324	427	887
325	428	885
326	429	884
327	430	882
328	432	881
329	433	879
330	434	877
331	435	876
332	436	874
333	437	872
334	439	871
335	440	870
336	441	867
337	442	866
338	443	864
339	444	863
340	445	861
341	446	859
342	447	857
343	448	856
344	450	854
345	451	853
346	452	851
347	453	850
348	454	847
349	455	846
350	456	844
351	457	842
352	458	841
353	459	839
354	461	837
355	462	836
356	463	834
357	464	833
358	465	831
359	466	830
360	468	828
361	469	827
362	470	825
363	471	823
364	472	822
365	473	820
366	474	819
367	476	817
368	477	816
369	478	814
370	479	812
371	480	811
372	481	809
373	483	808
374	484	807
375	485	805
376	486	804
377	487	802
378	489	801
379	490	799
380	490	797
381	491	795
382	492	794
383	493	792
384	495	790
385	496	789
386	497	787
387	498	785
388	499	784
389	500	782
390	501	781
391	502	779
392	503	777
393	504	776
394	505	774
395	506	773
396	508	771
397	509	770
398	510	768
399	511	767
400	512	765
401	513	763
402	514	762
403	515	760
404	517	759
405	518	757
406	519	756
407	520	754
408	521	753
409	522	752
410	523	750
411	524	749
412	526	747
413	527	746
414	528	744
415	529	743
416	530	741
417	531	740
418	532	738
419	533	737
420	535	735
421	536	734
422	537	733
423	538	731
424	539	730
425	540	728
426	541	727
427	543	725
428	544	724
429	545	722
430	546	721
431	547	719
432	548	718
433	549	716
434	550	714
435	551	713
436	552	712
437	553	710
438	555	709
439	556	707
440	557	706
441	558	705
442	559	703
443	560	702
444	562	701
445	563	700
446	564	698
447	566	697
448	567	696
449	568	694
450	569	693
451	570	691
452	571	690
453	572	688
454	573	687
455	575	686
456	576	684
457	577	683
458	578	681
459	579	679
460	580	678
461	581	677
462	582	675
463	583	674
464	584	672
465	585	671
466	587	670
467	588	668
468	589	667
469	590	665
470	591	664
471	592	663
472	593	661
473	595	660
474	596	658
475	597	657
476	598	656
477	599	654
478	600	653
479	601	651
480	603	650
481	604	649
482	605	647
483	606	646
484	607	645
485	608	643
486	610	642
487	611	641
488	612	640
489	613	638
490	614	637
491	616	636
492	616	634
493	618	633
494	619	631
495	620	630
496	621	629
497	622	627
498	624	626
499	625	625
500	626	623
501	627	622
502	628	621
503	629	619
504	630	618
505	631	616
506	632	615
507	634	614
508	635	612
509	636	611
510	637	610
511	638	608
512	639	607
513	640	605
514	641	604
515	643	603
516	644	601
517	645	600
518	646	599
519	648	598
520	649	596
521	650	595
522	651	594
523	652	592
524	653	591
525	654	590
526	656	588
527	657	587
528	658	586
529	659	584
530	660	583
531	661	582
532	663	580
533	664	579
534	665	578
535	666	576
536	667	575
537	668	574
538	670	573
539	671	571
540	672	570
541	673	569
542	674	567
543	675	566
544	677	565
545	678	563
546	679	562
547	680	561
548	681	559
549	682	558
550	683	557
551	684	555
552	686	554
553	687	553
554	688	551
555	689	550
556	690	549
557	691	548
558	692	546
559	694	545
560	694	543
561	695	542
562	697	541
563	698	539
564	699	538
565	700	537
566	701	535
567	702	534
568	703	533
569	705	532
570	706	530
571	707	529
572	708	528
573	710	526
574	711	525
575	712	524
576	713	523
577	714	521
578	715	520
579	716	519
580	718	517
581	719	516
582	720	515
583	721	513
584	722	512
585	723	511
586	724	510
587	726	508
588	727	507
589	728	506
590	729	504
591	730	503
592	731	502
593	732	500
594	734	499
595	735	498
596	736	497
597	737	495
598	739	494
599	740	493
600	741	492
601	742	490
602	743	489
603	745	488
604	746	487
605	748	486
606	749	485
607	750	483
608	751	482
609	752	481
610	754	480
611	755	478
612	756	477
613	757	476
614	758	475
615	760	473
616	761	472
617	762	471
618	763	470
619	764	468
620	765	467
621	767	466
622	768	465
623	769	463
624	771	462
625	772	461
626	773	460
627	774	458
628	775	457
629	777	456
630	778	455
631	779	453
632	780	452
633	781	451
634	783	450
635	784	449
636	785	447
637	786	446
638	787	445
639	789	444
640	790	442
641	791	441
642	792	440
643	794	438
644	795	437
645	796	436
646	797	435
647	798	433
648	800	432
649	802	432
650	804	431
651	806	430
652	808	429
653	809	428
654	811	427
655	812	426
656	814	425
657	816	424
658	817	423
659	819	422
660	821	421
661	823	420
662	825	419
663	826	418
664	828	417
665	829	416
666	830	414
667	832	413
668	834	412
669	836	411
670	837	410
671	839	409
672	840	408
673	841	406
674	842	405
675	843	404
676	844	403
677	846	401
678	848	401
679	849	399
680	850	398
681	852	397
682	853	396
683	854	394
684	856	393
685	857	392
686	858	391
687	859	389
688	860	388
689	862	387
690	863	386
691	864	384
692	865	383
693	867	382
694	868	381
695	869	379
696	870	378
697	872	377
698	873	376
699	874	374
700	875	373
701	877	372
702	879	371
703	880	370
704	881	368
705	883	367
706	884	366
707	886	365
708	887	364
709	888	362
710	889	361
711	891	360
712	892	359
713	893	357
714	894	356
715	896	355
716	897	354
717	899	353
718	900	351
719	901	350
720	902	349
721	903	347
722	904	346
723	906	345
724	907	344
725	908	342
726	909	341
727	911	340
728	912	339
729	914	338
730	915	336
731	916	335
732	917	334
733	918	333
734	920	331
735	921	330
736	922	329
737	923	328
738	925	326
739	926	325
740	928	324
741	930	323
742	931	322
743	932	320
744	933	319
745	935	318
746	936	317
747	937	315
748	938	314
749	939	313
750	942	312
751	943	311
752	945	310
753	946	308
754	947	307
755	948	306
756	949	304
757	951	303
758	952	302
759	953	301
760	954	299
761	956	298
762	957	297
763	958	296
764	960	294
765	961	293
766	962	292
767	963	291
768	964	289
769	965	288
770	967	287
771	968	285
772	969	284
773	970	283
774	971	282
775	972	280
776	974	279
777	975	278
778	976	277
779	977	275
780	978	274
781	980	273
782	981	271
783	982	270
784	983	269
785	984	268
786	985	266
787	987	265
788	988	264
789	989	263
790	991	261
791	992	260
792	993	259
793	994	258
794	995	256
795	997	255
796	998	254
797	999	253
798	1000	251
799	1001	250
800	1002	249
801	1004	247
802	1006	246
803	1007	245
804	1008	244
805	1009	243
806	1011	241
807	1012	240
808	1013	239
809	1015	238
810	1016	236
811	1017	235
812	1018	234
813	1019	233
814	1021	231
815	1022	230
816	1023	229
817	1024	228
818	1025	226
819	1027	225
820	1028	224
821	1029	222
822	1030	221
823	1031	220
824	1032	219
825	1033	217
826	1035	216
827	1036	215
828	1037	214
829	1039	212
830	1040	211
831	1041	210
832	1043	209
833	1044	207
834	1045	206
835	1046	205
836	1047	204
837	1048	202
838	1050	201
839	1051	200
840	1052	199
841	1053	197
842	1054	196
843	1056	195
844	1057	193
845	1058	192
846	1059	191
847	1060	190
848	1061	188
849	1062	187
850	1064	186
851	1065	185
852	1066	183
853	1067	182
854	1068	181
855	1069	179
856	1070	178
857	1071	177
858	1073	176
859	1074	174
860	1075	173
861	1076	172
862	1077	171
863	1079	169
864	1080	168
865	1081	167
866	1082	166
867	1083	164
868	1084	163
869	1085	162
870	1086	160
871	1087	159
872	1089	158
873	1090	157
874	1091	155
875	1092	154
876	1094	153
877	1095	152
878	1096	150
879	1097	149
880	1098	148
881	1099	147
882	1100	145
883	1101	144
884	1102	143
885	1103	142
886	1104	140
887	1105	139
888	1106	138
889	1108	136
890	1109	135
891	1110	134
892	1111	133
893	1112	131
894	1113	130
895	1114	129
896	1115	128
897	1116	126
898	1117	125
899	1118	124
900	1119	123
901	1120	121
902	1122	120
903	1123	119
904	1124	118
905	1125	116
906	1126	115
907	1127	114
908	1129	113
909	1130	111
910	1131	110
911	1133	109
912	1134	108
913	1135	106
914	1136	105
915	1138	104
916	1139	103
917	1140	101
918	1141	100
919	1142	99
920	1144	98
921	1145	96
922	1146	95
923	1147	94
924	1148	93
925	1149	91
926	1150	90
927	1151	89
928	1153	88
929	1154	86
930	1155	85
931	1156	84
932	1158	83
933	1159	81
934	1161	80
935	1163	79
936	1165	78
937	1166	77
938	1168	75
939	1170	74
940	1171	73
941	1173	72
942	1174	71
943	1176	69
944	1177	68
945	1179	67
946	1180	66
947	1181	64
948	1183	63
949	1185	62
950	1186	61
951	1187	59
952	1189	58
953	1190	57
954	1191	56
955	1192	54
956	1194	53
957	1195	52
958	1197	51
959	1199	49
960	1201	48
961	1202	47
962	1204	46
963	1205	45
964	1207	43
965	1208	42
966	1209	41
967	1211	40
968	1212	38
969	1214	37
970	1215	36
971	1217	35
972	1218	33
973	1219	32
974	1221	31
975	1222	30
976	1223	28
977	1225	27
978	1226	26
979	1227	25
980	1229	23
981	1231	22
982	1233	21
983	1235	20
984	1237	18
985	1239	17
986	1240	16
987	1242	15
988	1243	13
989	1244	12
990	1246	11
991	1247	10
992	1249	8
993	1250	7
994	1251	6
995	1253	5
996	1254	3
997	1256	2
998	1257	1
999	1258	0
